Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033119,1959,10,4.8,Y
IDCJAC0001,033119,1959,11,41.6,Y
IDCJAC0001,033119,1959,12,426.3,Y
IDCJAC0001,033119,1960,01,748.0,Y
IDCJAC0001,033119,1960,02,426.0,Y
IDCJAC0001,033119,1960,03,182.1,Y
IDCJAC0001,033119,1960,04,44.2,Y
IDCJAC0001,033119,1960,05,104.9,Y
IDCJAC0001,033119,1960,06,26.7,Y
IDCJAC0001,033119,1960,07,17.7,Y
IDCJAC0001,033119,1960,08,1.5,Y
IDCJAC0001,033119,1960,09,9.0,Y
IDCJAC0001,033119,1960,10,0.6,Y
IDCJAC0001,033119,1960,11,50.8,Y
IDCJAC0001,033119,1960,12,105.2,Y
IDCJAC0001,033119,1961,01,79.9,Y
IDCJAC0001,033119,1961,02,461.7,Y
IDCJAC0001,033119,1961,03,160.2,Y
IDCJAC0001,033119,1961,04,61.3,Y
IDCJAC0001,033119,1961,05,73.3,Y
IDCJAC0001,033119,1961,06,43.9,Y
IDCJAC0001,033119,1961,07,16.5,Y
IDCJAC0001,033119,1961,08,77.3,Y
IDCJAC0001,033119,1961,09,3.0,Y
IDCJAC0001,033119,1961,10,5.7,Y
IDCJAC0001,033119,1961,11,235.2,Y
IDCJAC0001,033119,1961,12,132.1,Y
IDCJAC0001,033119,1962,01,335.2,Y
IDCJAC0001,033119,1962,02,249.3,Y
IDCJAC0001,033119,1962,03,261.9,Y
IDCJAC0001,033119,1962,04,98.7,Y
IDCJAC0001,033119,1962,05,19.6,Y
IDCJAC0001,033119,1962,06,30.8,Y
IDCJAC0001,033119,1962,07,22.7,Y
IDCJAC0001,033119,1962,08,1.2,Y
IDCJAC0001,033119,1962,09,12.4,Y
IDCJAC0001,033119,1962,10,1.8,Y
IDCJAC0001,033119,1962,11,55.6,Y
IDCJAC0001,033119,1962,12,287.3,Y
IDCJAC0001,033119,1963,01,963.6,Y
IDCJAC0001,033119,1963,02,126.4,Y
IDCJAC0001,033119,1963,03,920.8,Y
IDCJAC0001,033119,1963,04,410.2,Y
IDCJAC0001,033119,1963,05,24.8,Y
IDCJAC0001,033119,1963,06,35.9,Y
IDCJAC0001,033119,1963,07,0.9,Y
IDCJAC0001,033119,1963,08,121.8,Y
IDCJAC0001,033119,1963,09,8.4,Y
IDCJAC0001,033119,1963,10,21.5,Y
IDCJAC0001,033119,1963,11,45.6,Y
IDCJAC0001,033119,1963,12,64.8,Y
IDCJAC0001,033119,1964,01,140.8,Y
IDCJAC0001,033119,1964,02,138.7,Y
IDCJAC0001,033119,1964,03,406.3,Y
IDCJAC0001,033119,1964,04,91.6,Y
IDCJAC0001,033119,1964,05,68.5,Y
IDCJAC0001,033119,1964,06,82.4,Y
IDCJAC0001,033119,1964,07,85.3,Y
IDCJAC0001,033119,1964,08,8.1,Y
IDCJAC0001,033119,1964,09,38.6,Y
IDCJAC0001,033119,1964,10,149.5,Y
IDCJAC0001,033119,1964,11,94.4,Y
IDCJAC0001,033119,1964,12,125.7,Y
IDCJAC0001,033119,1965,01,87.7,Y
IDCJAC0001,033119,1965,02,167.3,Y
IDCJAC0001,033119,1965,03,105.4,Y
IDCJAC0001,033119,1965,04,303.2,Y
IDCJAC0001,033119,1965,05,178.0,Y
IDCJAC0001,033119,1965,06,29.3,Y
IDCJAC0001,033119,1965,07,2.8,Y
IDCJAC0001,033119,1965,08,82.7,Y
IDCJAC0001,033119,1965,09,0.5,Y
IDCJAC0001,033119,1965,10,28.3,Y
IDCJAC0001,033119,1965,11,2.0,Y
IDCJAC0001,033119,1965,12,190.6,Y
IDCJAC0001,033119,1966,01,244.3,Y
IDCJAC0001,033119,1966,02,105.1,Y
IDCJAC0001,033119,1966,03,66.1,Y
IDCJAC0001,033119,1966,04,123.8,Y
IDCJAC0001,033119,1966,05,58.2,Y
IDCJAC0001,033119,1966,06,9.0,Y
IDCJAC0001,033119,1966,07,45.1,Y
IDCJAC0001,033119,1966,08,54.9,Y
IDCJAC0001,033119,1966,09,15.4,Y
IDCJAC0001,033119,1966,10,41.6,Y
IDCJAC0001,033119,1966,11,81.1,Y
IDCJAC0001,033119,1966,12,65.3,Y
IDCJAC0001,033119,1967,01,199.1,Y
IDCJAC0001,033119,1967,02,160.5,Y
IDCJAC0001,033119,1967,03,220.9,Y
IDCJAC0001,033119,1967,04,53.3,Y
IDCJAC0001,033119,1967,05,105.2,Y
IDCJAC0001,033119,1967,06,392.1,Y
IDCJAC0001,033119,1967,07,23.2,Y
IDCJAC0001,033119,1967,08,30.1,Y
IDCJAC0001,033119,1967,09,0.3,Y
IDCJAC0001,033119,1967,10,28.2,Y
IDCJAC0001,033119,1967,11,89.4,Y
IDCJAC0001,033119,1967,12,359.2,Y
IDCJAC0001,033119,1968,01,277.3,Y
IDCJAC0001,033119,1968,02,1071.4,Y
IDCJAC0001,033119,1968,03,386.0,Y
IDCJAC0001,033119,1968,04,126.7,Y
IDCJAC0001,033119,1968,05,96.3,Y
IDCJAC0001,033119,1968,06,2.4,Y
IDCJAC0001,033119,1968,07,41.5,Y
IDCJAC0001,033119,1968,08,15.7,Y
IDCJAC0001,033119,1968,09,24.3,Y
IDCJAC0001,033119,1968,10,7.3,Y
IDCJAC0001,033119,1968,11,0.0,Y
IDCJAC0001,033119,1968,12,73.6,Y
IDCJAC0001,033119,1969,01,95.6,Y
IDCJAC0001,033119,1969,02,98.9,Y
