Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,88023,1970,03,9.3,Y
IDCJAC0004,88023,1970,04,8.6,Y
IDCJAC0004,88023,1970,05,4.4,Y
IDCJAC0004,88023,1970,06,4.7,Y
IDCJAC0004,88023,1970,07,4.0,Y
IDCJAC0004,88023,1970,08,3.2,Y
IDCJAC0004,88023,1970,09,4.2,Y
IDCJAC0004,88023,1970,10,5.8,Y
IDCJAC0004,88023,1970,11,8.4,Y
IDCJAC0004,88023,1970,12,10.3,Y
IDCJAC0004,88023,1971,01,14.0,Y
IDCJAC0004,88023,1971,02,15.2,Y
IDCJAC0004,88023,1971,03,12.4,Y
IDCJAC0004,88023,1971,04,8.5,Y
IDCJAC0004,88023,1971,05,5.9,Y
IDCJAC0004,88023,1971,06,4.4,Y
IDCJAC0004,88023,1971,07,3.0,Y
IDCJAC0004,88023,1971,08,4.0,Y
IDCJAC0004,88023,1971,09,4.9,Y
IDCJAC0004,88023,1971,10,6.8,Y
IDCJAC0004,88023,1971,11,8.0,Y
IDCJAC0004,88023,1971,12,11.3,Y
IDCJAC0004,88023,1972,01,12.7,Y
IDCJAC0004,88023,1972,02,13.4,Y
IDCJAC0004,88023,1972,03,8.7,Y
IDCJAC0004,88023,1972,04,7.1,Y
IDCJAC0004,88023,1972,05,4.0,Y
IDCJAC0004,88023,1972,06,1.6,Y
IDCJAC0004,88023,1972,07,4.2,Y
IDCJAC0004,88023,1972,08,5.0,Y
IDCJAC0004,88023,1972,09,5.4,Y
IDCJAC0004,88023,1972,10,7.4,Y
IDCJAC0004,88023,1972,11,8.5,Y
IDCJAC0004,88023,1972,12,10.5,Y
IDCJAC0004,88023,1973,01,13.9,Y
IDCJAC0004,88023,1973,02,14.6,Y
IDCJAC0004,88023,1973,03,9.3,Y
IDCJAC0004,88023,1973,04,8.9,Y
IDCJAC0004,88023,1973,05,6.6,Y
IDCJAC0004,88023,1973,06,4.1,Y
IDCJAC0004,88023,1973,07,2.2,Y
IDCJAC0004,88023,1973,08,4.6,Y
IDCJAC0004,88023,1973,09,6.9,Y
IDCJAC0004,88023,1973,10,8.6,Y
IDCJAC0004,88023,1973,11,8.8,Y
IDCJAC0004,88023,1973,12,12.2,Y
IDCJAC0004,88023,1974,01,15.1,Y
IDCJAC0004,88023,1974,02,12.9,Y
IDCJAC0004,88023,1974,03,13.7,Y
IDCJAC0004,88023,1974,04,10.5,Y
IDCJAC0004,88023,1974,05,6.8,Y
IDCJAC0004,88023,1974,06,3.9,Y
IDCJAC0004,88023,1974,07,4.4,Y
IDCJAC0004,88023,1974,08,4.9,Y
IDCJAC0004,88023,1974,09,5.7,Y
IDCJAC0004,88023,1974,10,7.1,Y
IDCJAC0004,88023,1974,11,7.9,Y
IDCJAC0004,88023,1974,12,9.6,Y
IDCJAC0004,88023,1975,01,9.9,Y
IDCJAC0004,88023,1975,02,12.7,Y
IDCJAC0004,88023,1975,03,10.8,Y
IDCJAC0004,88023,1975,04,7.1,Y
IDCJAC0004,88023,1975,05,7.4,Y
IDCJAC0004,88023,1975,06,3.1,Y
IDCJAC0004,88023,1975,07,5.8,Y
IDCJAC0004,88023,1975,08,4.1,Y
IDCJAC0004,88023,1975,09,7.0,Y
IDCJAC0004,88023,1975,10,8.4,Y
IDCJAC0004,88023,1975,11,10.1,Y
IDCJAC0004,88023,1975,12,13.0,Y
IDCJAC0004,88023,1976,01,12.3,Y
IDCJAC0004,88023,1976,02,14.1,Y
IDCJAC0004,88023,1976,03,10.4,Y
IDCJAC0004,88023,1976,04,7.9,Y
IDCJAC0004,88023,1976,05,4.4,Y
IDCJAC0004,88023,1976,06,3.2,Y
IDCJAC0004,88023,1976,07,2.6,Y
IDCJAC0004,88023,1976,08,3.1,Y
IDCJAC0004,88023,1976,09,5.0,Y
IDCJAC0004,88023,1976,10,6.8,Y
IDCJAC0004,88023,1976,11,8.5,Y
IDCJAC0004,88023,1976,12,10.3,Y
IDCJAC0004,88023,1977,01,11.3,Y
IDCJAC0004,88023,1977,02,13.7,Y
IDCJAC0004,88023,1977,03,10.3,Y
IDCJAC0004,88023,1977,04,6.0,Y
IDCJAC0004,88023,1977,05,6.9,Y
IDCJAC0004,88023,1977,06,3.7,Y
IDCJAC0004,88023,1977,07,1.9,Y
IDCJAC0004,88023,1977,08,4.8,Y
IDCJAC0004,88023,1977,09,3.2,Y
IDCJAC0004,88023,1977,10,7.1,Y
IDCJAC0004,88023,1977,11,8.5,Y
IDCJAC0004,88023,1977,12,10.2,Y
IDCJAC0004,88023,1978,01,12.4,Y
IDCJAC0004,88023,1978,02,11.3,Y
IDCJAC0004,88023,1978,03,12.9,Y
IDCJAC0004,88023,1978,04,7.2,Y
IDCJAC0004,88023,1978,05,8.1,Y
IDCJAC0004,88023,1978,06,4.8,Y
IDCJAC0004,88023,1978,07,4.6,Y
IDCJAC0004,88023,1978,08,3.6,Y
IDCJAC0004,88023,1978,09,6.4,Y
IDCJAC0004,88023,1978,10,7.0,Y
IDCJAC0004,88023,1978,11,10.0,Y
IDCJAC0004,88023,1978,12,10.0,Y
IDCJAC0004,88023,1979,01,13.4,Y
IDCJAC0004,88023,1979,02,12.8,Y
IDCJAC0004,88023,1979,03,11.4,Y
IDCJAC0004,88023,1979,04,7.6,Y
IDCJAC0004,88023,1979,05,4.7,Y
IDCJAC0004,88023,1979,06,5.0,Y
IDCJAC0004,88023,1979,07,3.2,Y
IDCJAC0004,88023,1979,08,4.3,Y
IDCJAC0004,88023,1979,09,6.1,Y
IDCJAC0004,88023,1979,10,7.8,Y
IDCJAC0004,88023,1979,11,9.2,Y
IDCJAC0004,88023,1979,12,10.3,Y
IDCJAC0004,88023,1980,01,11.1,Y
IDCJAC0004,88023,1980,02,11.0,Y
IDCJAC0004,88023,1980,03,8.6,Y
IDCJAC0004,88023,1980,04,8.7,Y
IDCJAC0004,88023,1980,05,7.2,Y
IDCJAC0004,88023,1980,06,3.8,Y
IDCJAC0004,88023,1980,07,4.3,Y
IDCJAC0004,88023,1980,08,5.1,Y
IDCJAC0004,88023,1980,09,7.0,Y
IDCJAC0004,88023,1980,10,7.6,Y
IDCJAC0004,88023,1980,11,9.4,Y
IDCJAC0004,88023,1980,12,12.6,Y
IDCJAC0004,88023,1981,01,15.2,Y
IDCJAC0004,88023,1981,02,14.6,Y
IDCJAC0004,88023,1981,03,9.7,Y
IDCJAC0004,88023,1981,04,8.3,Y
IDCJAC0004,88023,1981,05,6.6,Y
IDCJAC0004,88023,1981,06,5.0,Y
IDCJAC0004,88023,1981,07,4.9,Y
IDCJAC0004,88023,1981,08,4.7,Y
IDCJAC0004,88023,1981,09,6.4,Y
IDCJAC0004,88023,1981,10,7.0,Y
IDCJAC0004,88023,1981,11,9.4,Y
IDCJAC0004,88023,1981,12,10.1,Y
IDCJAC0004,88023,1982,01,13.8,Y
IDCJAC0004,88023,1982,02,12.1,Y
IDCJAC0004,88023,1982,03,11.7,Y
IDCJAC0004,88023,1982,04,7.6,Y
IDCJAC0004,88023,1982,05,7.0,Y
IDCJAC0004,88023,1982,06,2.2,Y
IDCJAC0004,88023,1982,07,0.9,Y
IDCJAC0004,88023,1982,08,4.1,Y
IDCJAC0004,88023,1982,09,4.0,Y
IDCJAC0004,88023,1982,10,5.7,Y
IDCJAC0004,88023,1982,11,9.0,Y
IDCJAC0004,88023,1982,12,11.1,Y
IDCJAC0004,88023,1983,01,9.7,Y
IDCJAC0004,88023,1983,02,14.2,Y
IDCJAC0004,88023,1983,03,13.4,Y
IDCJAC0004,88023,1983,04,7.1,Y
IDCJAC0004,88023,1983,05,7.7,Y
IDCJAC0004,88023,1983,06,4.5,Y
IDCJAC0004,88023,1983,07,3.8,Y
IDCJAC0004,88023,1983,08,5.2,Y
IDCJAC0004,88023,1983,09,6.6,Y
IDCJAC0004,88023,1983,10,7.6,Y
IDCJAC0004,88023,1983,11,8.2,Y
IDCJAC0004,88023,1983,12,10.7,Y
IDCJAC0004,88023,1984,01,11.4,Y
IDCJAC0004,88023,1984,02,10.9,Y
IDCJAC0004,88023,1984,03,8.8,Y
IDCJAC0004,88023,1984,04,6.8,Y
IDCJAC0004,88023,1984,05,4.0,Y
IDCJAC0004,88023,1984,06,3.8,Y
IDCJAC0004,88023,1984,07,2.1,Y
IDCJAC0004,88023,1984,08,5.2,Y
IDCJAC0004,88023,1984,09,4.9,Y
IDCJAC0004,88023,1984,10,7.0,Y
IDCJAC0004,88023,1984,11,9.7,Y
IDCJAC0004,88023,1984,12,9.4,Y
IDCJAC0004,88023,1985,01,9.7,Y
IDCJAC0004,88023,1985,02,10.7,Y
IDCJAC0004,88023,1985,03,12.4,Y
IDCJAC0004,88023,1985,04,9.1,Y
IDCJAC0004,88023,1985,05,5.4,Y
IDCJAC0004,88023,1985,06,3.0,Y
IDCJAC0004,88023,1985,07,1.6,Y
IDCJAC0004,88023,1985,08,4.2,Y
IDCJAC0004,88023,1985,09,4.1,Y
IDCJAC0004,88023,1985,10,7.6,Y
IDCJAC0004,88023,1985,11,9.6,Y
IDCJAC0004,88023,1985,12,12.1,Y
IDCJAC0004,88023,1986,01,9.8,Y
IDCJAC0004,88023,1986,02,10.5,Y
IDCJAC0004,88023,1986,03,10.5,Y
IDCJAC0004,88023,1986,04,7.8,Y
IDCJAC0004,88023,1986,05,6.4,Y
IDCJAC0004,88023,1986,06,3.7,Y
IDCJAC0004,88023,1986,07,3.7,Y
IDCJAC0004,88023,1986,08,4.0,Y
IDCJAC0004,88023,1986,09,6.0,Y
IDCJAC0004,88023,1986,10,7.1,Y
IDCJAC0004,88023,1986,11,8.4,Y
IDCJAC0004,88023,1986,12,9.6,Y
IDCJAC0004,88023,1987,01,9.7,Y
IDCJAC0004,88023,1987,02,10.9,Y
IDCJAC0004,88023,1987,03,8.1,Y
IDCJAC0004,88023,1987,04,7.6,Y
IDCJAC0004,88023,1987,05,6.1,Y
IDCJAC0004,88023,1987,06,4.9,Y
IDCJAC0004,88023,1987,07,2.8,Y
IDCJAC0004,88023,1987,08,4.3,Y
IDCJAC0004,88023,1987,09,5.7,Y
IDCJAC0004,88023,1987,10,6.0,Y
IDCJAC0004,88023,1987,11,9.4,Y
IDCJAC0004,88023,1987,12,9.8,Y
IDCJAC0004,88023,1988,01,13.6,Y
IDCJAC0004,88023,1988,02,10.0,Y
IDCJAC0004,88023,1988,03,10.5,Y
IDCJAC0004,88023,1988,04,8.7,Y
IDCJAC0004,88023,1988,05,9.1,Y
IDCJAC0004,88023,1988,06,5.3,Y
IDCJAC0004,88023,1988,07,4.4,Y
IDCJAC0004,88023,1988,08,5.1,Y
IDCJAC0004,88023,1988,09,6.3,Y
IDCJAC0004,88023,1988,10,7.4,Y
IDCJAC0004,88023,1988,11,9.4,Y
IDCJAC0004,88023,1988,12,12.8,Y
IDCJAC0004,88023,1989,01,11.9,Y
IDCJAC0004,88023,1989,02,12.3,Y
IDCJAC0004,88023,1989,03,11.8,Y
IDCJAC0004,88023,1989,04,9.5,Y
IDCJAC0004,88023,1989,05,8.0,Y
IDCJAC0004,88023,1989,06,3.7,Y
IDCJAC0004,88023,1989,07,3.2,Y
IDCJAC0004,88023,1989,08,3.5,Y
IDCJAC0004,88023,1989,09,5.2,Y
IDCJAC0004,88023,1989,10,6.4,Y
IDCJAC0004,88023,1989,11,10.0,Y
IDCJAC0004,88023,1989,12,10.8,Y
IDCJAC0004,88023,1990,01,12.0,Y
IDCJAC0004,88023,1990,02,12.6,Y
IDCJAC0004,88023,1990,03,10.6,Y
IDCJAC0004,88023,1990,04,9.6,Y
IDCJAC0004,88023,1990,05,5.3,Y
IDCJAC0004,88023,1990,06,4.3,Y
IDCJAC0004,88023,1990,07,5.5,Y
IDCJAC0004,88023,1990,08,4.4,Y
IDCJAC0004,88023,1990,09,5.1,Y
IDCJAC0004,88023,1990,10,8.0,Y
IDCJAC0004,88023,1990,11,9.4,Y
IDCJAC0004,88023,1990,12,11.2,Y
IDCJAC0004,88023,1991,01,13.8,Y
IDCJAC0004,88023,1991,02,10.5,Y
IDCJAC0004,88023,1991,03,9.6,Y
IDCJAC0004,88023,1991,04,6.1,Y
IDCJAC0004,88023,1991,05,4.6,Y
IDCJAC0004,88023,1991,06,7.3,Y
IDCJAC0004,88023,1991,07,4.5,Y
IDCJAC0004,88023,1991,08,4.8,Y
IDCJAC0004,88023,1991,09,5.5,Y
IDCJAC0004,88023,1991,10,7.6,Y
IDCJAC0004,88023,1991,11,7.4,Y
IDCJAC0004,88023,1991,12,11.0,Y
IDCJAC0004,88023,1992,01,10.3,Y
IDCJAC0004,88023,1992,02,11.6,Y
IDCJAC0004,88023,1992,03,11.8,Y
IDCJAC0004,88023,1992,04,8.5,Y
IDCJAC0004,88023,1992,05,6.5,Y
IDCJAC0004,88023,1992,06,4.1,Y
IDCJAC0004,88023,1992,07,3.5,Y
IDCJAC0004,88023,1992,08,2.8,Y
IDCJAC0004,88023,1992,09,4.9,Y
IDCJAC0004,88023,1992,10,8.1,Y
IDCJAC0004,88023,1992,11,8.9,Y
IDCJAC0004,88023,1992,12,13.5,Y
IDCJAC0004,88023,1993,01,13.1,Y
IDCJAC0004,88023,1993,02,13.1,Y
IDCJAC0004,88023,1993,03,10.9,Y
IDCJAC0004,88023,1993,04,7.7,Y
IDCJAC0004,88023,1993,05,6.0,Y
IDCJAC0004,88023,1993,06,3.9,Y
IDCJAC0004,88023,1993,07,5.0,Y
IDCJAC0004,88023,1993,08,5.0,Y
IDCJAC0004,88023,1993,09,6.3,Y
IDCJAC0004,88023,1993,10,6.6,Y
IDCJAC0004,88023,1993,11,8.3,Y
IDCJAC0004,88023,1993,12,10.3,Y
IDCJAC0004,88023,1994,01,10.4,Y
IDCJAC0004,88023,1994,02,14.2,Y
IDCJAC0004,88023,1994,03,8.8,Y
IDCJAC0004,88023,1994,04,7.8,Y
IDCJAC0004,88023,1994,05,5.8,Y
IDCJAC0004,88023,1994,06,4.8,Y
IDCJAC0004,88023,1994,07,3.1,Y
IDCJAC0004,88023,1994,08,2.2,Y
IDCJAC0004,88023,1994,09,3.9,Y
IDCJAC0004,88023,1994,10,6.5,Y
IDCJAC0004,88023,1994,11,9.3,Y
IDCJAC0004,88023,1994,12,12.0,Y
IDCJAC0004,88023,1995,01,14.4,Y
IDCJAC0004,88023,1995,02,12.0,Y
IDCJAC0004,88023,1995,03,9.3,Y
IDCJAC0004,88023,1995,04,6.0,Y
IDCJAC0004,88023,1995,05,6.3,Y
IDCJAC0004,88023,1995,06,3.4,Y
IDCJAC0004,88023,1995,07,3.8,Y
IDCJAC0004,88023,1995,08,3.6,Y
IDCJAC0004,88023,1995,09,4.3,Y
IDCJAC0004,88023,1995,10,6.6,Y
IDCJAC0004,88023,1995,11,10.1,Y
IDCJAC0004,88023,1995,12,8.3,Y
IDCJAC0004,88023,1996,01,12.0,Y
IDCJAC0004,88023,1996,02,10.4,Y
IDCJAC0004,88023,1996,03,9.5,Y
IDCJAC0004,88023,1996,04,6.9,Y
IDCJAC0004,88023,1996,05,5.0,Y
IDCJAC0004,88023,1996,06,4.4,Y
IDCJAC0004,88023,1996,07,3.7,Y
IDCJAC0004,88023,1996,08,5.4,Y
IDCJAC0004,88023,1996,09,5.2,Y
IDCJAC0004,88023,1996,10,7.1,Y
IDCJAC0004,88023,1996,11,7.4,Y
IDCJAC0004,88023,1996,12,8.7,Y
IDCJAC0004,88023,1997,01,12.6,Y
IDCJAC0004,88023,1997,02,14.7,Y
IDCJAC0004,88023,1997,03,8.6,Y
IDCJAC0004,88023,1997,04,5.9,Y
IDCJAC0004,88023,1997,05,5.3,Y
IDCJAC0004,88023,1997,06,3.1,Y
IDCJAC0004,88023,1997,07,0.7,Y
IDCJAC0004,88023,1997,08,3.3,Y
IDCJAC0004,88023,1997,09,5.0,Y
IDCJAC0004,88023,1997,10,7.0,Y
IDCJAC0004,88023,1997,11,9.5,Y
IDCJAC0004,88023,1997,12,10.7,Y
IDCJAC0004,88023,1998,01,13.9,Y
IDCJAC0004,88023,1998,02,11.8,Y
IDCJAC0004,88023,1998,03,9.8,Y
IDCJAC0004,88023,1998,04,6.6,Y
IDCJAC0004,88023,1998,05,5.7,Y
IDCJAC0004,88023,1998,06,3.7,Y
IDCJAC0004,88023,1998,07,2.1,Y
IDCJAC0004,88023,1998,08,4.4,Y
IDCJAC0004,88023,1998,09,7.1,Y
IDCJAC0004,88023,1998,10,7.2,Y
IDCJAC0004,88023,1998,11,8.4,Y
IDCJAC0004,88023,1998,12,10.9,Y
IDCJAC0004,88023,1999,01,15.7,Y
IDCJAC0004,88023,1999,02,13.3,Y
IDCJAC0004,88023,1999,03,11.2,Y
IDCJAC0004,88023,1999,04,5.5,Y
IDCJAC0004,88023,1999,05,6.5,Y
IDCJAC0004,88023,1999,06,4.4,Y
IDCJAC0004,88023,1999,07,3.7,Y
IDCJAC0004,88023,1999,08,3.9,Y
IDCJAC0004,88023,1999,09,7.2,Y
IDCJAC0004,88023,1999,10,8.6,Y
IDCJAC0004,88023,1999,11,8.4,Y
IDCJAC0004,88023,1999,12,11.8,Y
IDCJAC0004,88023,2000,01,11.9,Y
IDCJAC0004,88023,2000,02,15.5,Y
IDCJAC0004,88023,2000,03,12.9,Y
IDCJAC0004,88023,2000,04,8.5,Y
IDCJAC0004,88023,2000,05,6.4,Y
IDCJAC0004,88023,2000,06,4.5,Y
IDCJAC0004,88023,2000,07,3.5,Y
IDCJAC0004,88023,2000,08,4.2,Y
IDCJAC0004,88023,2000,09,6.9,Y
IDCJAC0004,88023,2000,10,7.4,Y
IDCJAC0004,88023,2000,11,12.1,Y
IDCJAC0004,88023,2000,12,10.1,Y
IDCJAC0004,88023,2001,01,15.5,Y
IDCJAC0004,88023,2001,02,14.7,Y
IDCJAC0004,88023,2001,03,10.2,Y
IDCJAC0004,88023,2001,04,7.5,Y
IDCJAC0004,88023,2001,05,4.3,Y
IDCJAC0004,88023,2001,06,5.3,Y
IDCJAC0004,88023,2001,07,3.7,Y
IDCJAC0004,88023,2001,08,4.6,Y
IDCJAC0004,88023,2001,09,6.7,Y
IDCJAC0004,88023,2001,10,7.6,Y
IDCJAC0004,88023,2001,11,8.8,Y
IDCJAC0004,88023,2001,12,8.8,Y
IDCJAC0004,88023,2002,01,12.3,Y
IDCJAC0004,88023,2002,02,12.6,Y
IDCJAC0004,88023,2002,03,9.8,Y
IDCJAC0004,88023,2002,04,9.3,Y
IDCJAC0004,88023,2002,05,5.4,Y
IDCJAC0004,88023,2002,06,4.9,Y
IDCJAC0004,88023,2002,07,4.2,Y
IDCJAC0004,88023,2002,08,3.0,Y
IDCJAC0004,88023,2002,09,5.6,Y
IDCJAC0004,88023,2002,10,7.4,Y
IDCJAC0004,88023,2002,11,9.4,Y
IDCJAC0004,88023,2002,12,10.8,Y
IDCJAC0004,88023,2003,01,12.4,Y
IDCJAC0004,88023,2003,02,13.4,Y
IDCJAC0004,88023,2003,03,10.2,Y
IDCJAC0004,88023,2003,04,8.2,Y
IDCJAC0004,88023,2003,05,6.1,Y
IDCJAC0004,88023,2003,06,5.5,Y
IDCJAC0004,88023,2003,07,3.7,Y
IDCJAC0004,88023,2003,08,3.9,Y
IDCJAC0004,88023,2003,09,4.7,Y
IDCJAC0004,88023,2003,10,5.7,Y
IDCJAC0004,88023,2003,11,9.2,Y
IDCJAC0004,88023,2003,12,12.6,Y
IDCJAC0004,88023,2004,01,10.3,Y
IDCJAC0004,88023,2004,02,11.6,Y
IDCJAC0004,88023,2004,03,8.8,Y
IDCJAC0004,88023,2004,04,7.9,Y
IDCJAC0004,88023,2004,05,4.8,Y
IDCJAC0004,88023,2004,06,5.2,Y
IDCJAC0004,88023,2004,07,3.8,Y
IDCJAC0004,88023,2004,08,4.5,Y
